Name,Given Name,Additional Name,Family Name,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Notes
Sales Agent,Sales Agent,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"PLUS tier. B2B/B2C sales strategy, pipeline management, cold outreach, closing. Subject format: @SALES-AGENT ACTION — details"
Claims Agent,Claims Agent,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. Insurance claims, warranty claims, dispute resolution. Subject format: @CLAIMS-AGENT ACTION — details"
Compliance Agent,Compliance Agent,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. Regulatory compliance, policy development, audit preparation. Subject format: @COMPLIANCE-AGENT ACTION — details"
Platform Onboarding Concierge,Platform Onboarding Concierge,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"FREE tier. Personal guide to Stone AI platform features. Subject format: @PLATFORM-ONBOARDING ACTION — details"
Enterprise Implementation Architect,Enterprise Implementation Architect,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"PRO tier. Enterprise deployment, custom workflows, API integration. Subject format: @ENTERPRISE-IMPLEMENTATION ACTION — details"
AI Bestie Companion,AI Bestie Companion,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"FREE tier. Personal AI companion with custom personality and persistent memory. Subject format: @BESTIE-COMPANION ACTION — details"
General Coding Assistant,General Coding Assistant,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"PLUS tier. Code generation, debugging, refactoring, code review. Subject format: @GENERAL-CODING ACTION — details"
Writing & Editing Coach,Writing & Editing Coach,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"PLUS tier. Professional writing, essays, articles, emails, editing, style coaching. Subject format: @WRITING-EDITING ACTION — details"
Health & Wellness Coach,Health & Wellness Coach,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"FREE tier. Fitness, nutrition, sleep, stress management, holistic wellness. Subject format: @HEALTH-WELLNESS ACTION — details"
Academic Tutor,Academic Tutor,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"FREE tier. Patient tutor for any subject, homework strategy, study techniques. Subject format: @ACADEMIC-TUTOR ACTION — details"
E-Commerce Store Builder,E-Commerce Store Builder,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. End-to-end guidance for building and scaling online stores. Subject format: @ECOMMERCE-STORE ACTION — details"
Legal Basics & Contract Reviewer,Legal Basics & Contract Reviewer,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. Plain-English legal explanations, contract review. Subject format: @LEGAL-BASICS ACTION — details"
Real Estate Investment Advisor,Real Estate Investment Advisor,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. Investment strategy, rental properties, REITs, market analysis. Subject format: @REAL-ESTATE ACTION — details"
Podcast Production Strategist,Podcast Production Strategist,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"PLUS tier. Format development, recording, distribution, audience growth. Subject format: @PODCAST-PRODUCTION ACTION — details"
Digital Marketing Strategist,Digital Marketing Strategist,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. Full-spectrum digital marketing, organic social, paid ads, client acquisition. Subject format: @DIGITAL-MARKETING ACTION — details"
Video Content Strategist,Video Content Strategist,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. YouTube strategy, short-form content, scriptwriting, thumbnails. Subject format: @VIDEO-CONTENT ACTION — details"
Personal Finance Advisor,Personal Finance Advisor,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"PLUS tier. Budgeting, saving, investing, debt management, retirement planning. Subject format: @PERSONAL-FINANCE ACTION — details"
HR & People Operations Coach,HR & People Operations Coach,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. Hiring, team building, employee management, HR compliance. Subject format: @HR-PEOPLE-OPS ACTION — details"
Project Management Coach,Project Management Coach,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"PLUS tier. Planning, executing, delivering projects on time and budget. Subject format: @PROJECT-MANAGEMENT ACTION — details"
Translation & Localization Specialist,Translation & Localization Specialist,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"SMART tier. Translation, cultural adaptation, localization strategy. Subject format: @TRANSLATION-LOCALIZATION ACTION — details"
Executive Inbox Manager,Executive Inbox Manager,,,Three-Headed Monster ::: * myContacts,Other,3headedm@gmail.com,"Email management, priority sorting, response drafting, inbox organization. Subject format: @EXECUTIVE-INBOX ACTION — details"
